EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC,QK
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.436,0.656,-0.552,Ocio
5,4,4,4,3,3,5,4,5,4,5,5,5,5,5,5,7,7,7,7,7,5,5,6,6,6,7,7,6,7,7,5,5,6,5,6,6,6,7,6,6,7,7,3,6,5,6,5,6,0.579,-0.445,-1.005,Ocio
6,6,6,6,6,6,6,5,5,6,5,4,3,3,3,3,7,7,7,7,7,6,6,6,5,5,6,6,6,6,5,6,5,5,6,6,6,6,7,6,5,6,7,5,5,5,7,7,7,0.456,-0.177,0.88,Ocio
6,6,6,6,6,6,7,5,5,2,4,5,4,4,4,4,6,6,6,6,5,3,4,4,5,4,6,6,4,5,4,3,4,5,4,4,5,5,5,4,4,6,7,4,4,4,6,6,6,-0.993,-1.01,-0.552,Ocio
5,5,4,5,4,5,6,4,4,2,4,4,5,5,5,5,6,5,6,4,4,3,3,3,3,4,5,5,4,5,4,3,4,5,5,4,5,5,5,4,4,5,7,4,4,4,6,6,6,-1.015,-1.01,-0.552,Ocio
5,7,6,6,6,6,7,5.212121212121212,7,4.026415094339622,7,6,7,6,6,6,7,7,6,6,7,7,5,6,6,5,6,6,6,6,5,5,5,7,7,7,7,5,5,5,5,6,7,7,7,7,7,7,7,0.357,1.489,0.88,Negocio
5,5,4,5,5,4,6,5,4,3,3,5,4,4,4,4,6,6,6,6,6,6,5,5,5,4,6,5,5,5,7,6,6,6,6,6,6,6,6,6,6,6,7,5,5,5,7,7,7,0.436,-0.177,0.88,Negocio
6,6,6,6,6,6,5,5,5,6,4,4,5,5,5,5,7,7,6,6,5,7,6,7,6,4,6,4,6,6,5,5,5,7,5,6,6,6,6,5,2,6,6,5,6,5,6,6,6,-0.225,0.11,-0.552,Ocio
3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,6,6,6,6,7,6,6,6,6,5,5,5,5,5,4,4,4,4,3,4,6,4,3,4,4,6,7,6,5,4,5,5,5,-1.355,-0.167,-1.984,Negocio
5,5,4,6,5,5,6,5,5,2,2,5,5,5,5,5,7,7,7,7,7,5,5,4,5,4,6,6,4,5,5,3,4,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,1.528,0.656,-0.552,Ocio
5,5,4,5,5,5,6,2,2,2,2,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,2,5,5,4,4,5,5,5,4,4,5,7,3,3,3,6,6,6,-1.143,-1.844,-0.552,Ocio
5,5,5,6,7,7,7,6,5,6,5,6,7,6,5,6,7,6,6,6,7,7,6,7,6,6,6,7,6,5.885496183206107,7,6,6,7,5,6,7,7,7,7,6,6,7,5,6,6,6,7,7,0.888,0.378,0.404,Negocio
5,5,6,6,5,5,6,6,6,6,5,6,5,5,5,4,7,7,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,6,7,4,4,4,6,6,6,-0.632,-1.01,-0.552,Negocio
6,6,5,6,5,4,6,4,4,3,4,4,4,4,4,4,6,6,6,5,5,5,4,2,5,3,6,5,4,5,4,2,4,6,3,3,5,5,5,3,4,6,7,4,3,3,6,5,6,-1.378,-1.566,-1.005,Ocio
5,6,5,6,6,5,6,5,5,3,3,5,3,3,3,3,6,6,6,5,5,4,4,4,4,4,6,5,5,4,3,2,4,5,3,2,5,5,5,2,3,5,7,4,4,4,6,7,6,-1.886,-1.01,-0.098,Negocio
5,5,5,5,5,5,7,2,2,2,2,2,3,3,3,3,7,7,7,4,4,4,4,4,5,3,6,5,4,4,2,1,3,5,3,3,3,4,4,2,2,5,7,2,2,2,5,5,5,-2.484,-2.677,-1.984,Negocio
4,4,5.337078651685394,5,5,4,5,5,5,5,5,4,4,4,4,4,7,7,7,6,6,5,6,6,6,6,6,6,6,6,4,4,4,5,6,6,6,6,5,5,5,6,6,6,5,5,7,7,7,0.087,0.101,0.88,Ocio
